Start_Signal;End_Signal;Segment;Element;Start_Port;End_Port;Start_Distance;End_Distance
S100;S2001;0;G100;1;2;0.0;300.0
S101;S2001;3;G200;1;2;0.0;800.0
S100;S2001;1;W100;1;3;0.0;150.0
S101;S2001;2;G103;1;2;0.0;300.0
S101;S2001;1;W101;2;1;0.0;150.0
S403;S3002;5;G300;2;1;0.0;800.0
S403;S3002;4;G400;2;1;0.0;1500.0
S2001;S3001;0;G200;1;2;800.0;1500.0
S3002;S2002;0;G300;2;1;800.0;1500.0
S2001;S3001;1;G300;1;2;0.0;800.0
S101;S2001;0;G101;1;2;200.0;300.0
S403;S402;2;G402;2;1;0.0;200.0
S100;S2001;4;G103;1;2;0.0;300.0
S3002;S2002;1;G200;2;1;0.0;800.0
S403;S402;1;W401;1;3;0.0;150.0
S100;S2001;5;G200;1;2;0.0;800.0
S100;S2001;2;G102;1;2;0.0;300.0
S100;S2001;3;W101;3;1;0.0;150.0
S403;S402;0;G403;2;1;0.0;1500.0
S2002;S102;1;G103;2;1;0.0;300.0
S2002;S102;2;W101;1;3;0.0;150.0
S2002;S102;0;G200;2;1;800.0;1500.0
S100;S101;2;G101;1;2;0.0;200.0
S100;S101;1;W100;1;2;0.0;150.0
S100;S101;0;G100;1;2;0.0;300.0
S2002;S102;3;G102;2;1;0.0;200.0
S3001;S401;3;G401;1;2;0.0;200.0
S3001;S401;2;W400;1;2;0.0;150.0
S3001;S401;1;G400;1;2;0.0;1500.0
S3001;S401;0;G300;1;2;800.0;1500.0
S403;S3002;3;W400;2;1;0.0;150.0
S403;S3002;2;G401;2;1;0.0;300.0
S402;S3002;0;G402;2;1;200.0;300.0
S403;S3002;1;W401;1;2;0.0;150.0
S403;S3002;0;G403;2;1;0.0;1500.0
S402;S3002;3;G300;2;1;0.0;800.0
S402;S3002;1;W400;3;1;0.0;150.0
S402;S3002;2;G400;2;1;0.0;1500.0
