Element_Name;Number;X;Y
G100;1;-500;0.0
G100;2;-440;0.0
G101;1;-380;0.0
G101;2;-320;0.0
G102;1;-380;20
G102;2;-320;20
G103;1;-260;0.0
G103;2;-200;0.0
W100;1;-440;0.0
W100;2;-380;0.0
W100;3;-380;20
W101;1;-260;0.0
W101;2;-320;0.0
W101;3;-320;20
G200;1;-200;0.0
G200;2;0.0;0.0
G300;1;0.0;0.0
G300;2;200;0.0
G400;1;200;0.0
G400;2;260;0.0
G401;1;320;0.0
G401;2;380;0.0
G402;1;320;20
G402;2;380;20
G403;1;440;0.0
G403;2;500;0.0
W400;1;260;0.0
W400;2;320;0.0
W400;3;320;20
W401;1;440;0.0
W401;2;380;0.0
W401;3;380;20
