Element_Name;Start_Port;End_Port;Segment;Length;Radius;Gradient;SpeedLimit
1006;1;2;0;94.223;0;0;80
1006;1;2;1;120.259;1500;0;80
1006;1;2;2;76.578;0;0;80
1006;1;2;3;120.260;1500;0;80
1006;1;2;4;541.648;0;0;80
1008;1;2;0;240.347;0;0;80
1008;1;2;1;34.470;3000;0;80
1008;1;2;2;30.805;0;0;80
1008;1;2;3;34.470;3000;0;80
1008;1;2;4;148.001;0;0;80
1009;1;2;0;12.496;0;0;80
1009;1;2;1;21.933;3000;0;80
1009;1;2;2;32.405;0;0;80
1009;1;2;3;100.479;2500;0;80
1009;1;2;4;30.446;0;0;80
1012;1;2;0;55.265;0;0;80
1012;1;2;1;21.031;9000;0;80
1012;1;2;2;21.673;0;0;80
1012;1;2;3;229.114;350;0;71
1012;1;2;4;126.003;0;0;80
1012;1;2;5;116.438;800;0;80
1012;1;2;6;27.668;0;0;80
1012;1;2;7;337.847;350;0;73
1012;1;2;8;16.856;0;0;80
1012;1;2;9;83.256;300;0;50
1014;1;2;0;217.946;300;0;50
1014;1;2;1;104.361;0;0;80
1014;1;2;2;136.077;350;0;63
1014;1;2;3;26.606;0;0;80
1014;1;2;4;98.501;1200;0;80
1014;1;2;5;78.974;0;0;80
1014;1;2;6;40.593;3000;0;80
1014;1;2;7;117.125;0;0;80
1016;1;2;0;94.831;0;0;80
1016;1;2;1;146.425;800;0;80
1016;1;2;2;290.237;0;0;80
1016;1;2;3;63.763;3000;0;80
1016;1;2;4;26.827;0;0;80
1016;1;2;5;63.762;3000;0;80
1016;1;2;6;882.383;0;0;80
1016;1;2;7;126.453;1000;0;80
1018;1;2;0;9.498;1000;0;80
1018;1;2;1;169.781;0;0;80
1018;1;2;2;148.705;800;0;80
1018;1;2;3;163.210;0;0;80
114;1;2;0;83.211;0;0;80
114;1;2;1;72.360;2000;0;80
114;1;2;2;48.849;0;0;80
1022;1;2;0;163.137;0;0;80
1022;1;2;1;78.022;2000;0;80
1022;1;2;2;77.102;0;0;80
1022;1;2;3;78.023;2000;0;80
1022;1;2;4;806.495;0;0;80
1022;1;2;5;57.518;1200;0;80
1024;1;2;0;285.061;1200;0;80
1024;1;2;1;263.031;0;0;80
1024;1;2;2;227.908;371;0;75
1026;1;2;0;249.782;371;0;75
1026;1;2;1;101.160;0;0;80
1026;1;2;2;316.968;450;0;80
1026;1;2;3;299.213;0;0;80
1026;1;2;4;136.710;350;0;73
119;1;2;0;86.789;350;0;73
119;1;2;1;124.990;0;0;80
1027;1;2;0;121.778;0;0;80
1027;1;2;1;10.222;300;0;67
1030;1;2;0;342.150;300;0;67
1030;1;2;1;372.312;0;0;80
1032;1;2;0;236.697;0;0;80
1032;1;2;1;169.051;350;0;73
1032;1;2;2;47.805;0;0;80
1032;1;2;3;194.539;350;0;73
1032;1;2;4;211.347;0;0;80
1032;1;2;5;22.750;3000;0;80
1032;1;2;6;29.998;0;0;80
1032;1;2;7;22.750;3000;0;80
1032;1;2;8;99.845;0;0;80
121;1;2;0;51.444;0;0;80
121;1;2;1;110.818;1200;0;80
121;1;2;2;34.826;0;0;80
121;1;2;3;7.332;800;0;80
1038;1;2;0;147.820;800;0;80
1038;1;2;1;84.556;0;0;80
1038;1;2;2;101.910;1200;0;80
1038;1;2;3;853.769;0;0;80
1040;1;2;0;140.868;0;0;80
1040;1;2;1;439.142;450;0;80
1040;1;2;2;484.946;0;0;80
1040;1;2;3;119.695;1000;0;80
1040;1;2;4;413.646;0;0;80
1040;1;2;5;114.608;800;0;80
1040;1;2;6;19.992;0;0;80
1040;1;2;7;294.226;355;0;71
1040;1;2;8;124.298;0;0;80
1040;1;2;9;92.473;1205;0;80
1040;1;2;10;23.082;0;0;80
1040;1;2;11;91.857;1195;0;80
1040;1;2;12;290.167;0;0;80
1042;1;2;0;512.392;0;0;80
1042;1;2;1;91.857;1195;0;80
1042;1;2;2;23.559;0;0;80
1042;1;2;3;92.473;1205;0;80
1042;1;2;4;83.174;0;0;80
1043;1;2;0;73.941;0;0;80
1043;1;2;1;92.473;1205;0;80
1043;1;2;2;23.082;0;0;80
1043;1;2;3;91.858;1195;0;80
1043;1;2;4;100.931;0;0;80
1046;1;2;0;404.395;0;0;80
1046;1;2;1;91.857;1195;0;80
1046;1;2;2;23.558;0;0;80
1046;1;2;3;92.474;1205;0;80
1046;1;2;4;126.590;0;0;80
1046;1;2;5;59.126;645;0;80
1048;1;2;0;83.076;645;0;80
1048;1;2;1;33.913;0;0;80
1048;1;2;2;163.709;455;0;80
1048;1;2;3;87.078;0;0;80
1048;1;2;4;121.912;955;0;80
1048;1;2;5;468.789;0;0;80
1048;1;2;6;177.150;455;0;80
1048;1;2;7;32.256;0;0;80
1048;1;2;8;175.596;450;0;80
1048;1;2;9;188.521;0;0;80
1050;1;2;0;144.356;0;0;80
1050;1;2;1;90.036;1200;0;80
1050;1;2;2;21.510;0;0;80
1050;1;2;3;85.036;1200;0;80
1050;1;2;4;185.247;0;0;80
1054;1;2;0;865.485;0;0;80
1054;1;2;1;7.321;1000;0;80
1056;1;2;0;120.427;1000;0;80
1056;1;2;1;23.432;0;0;80
1056;1;2;2;127.748;1000;0;80
1056;1;2;3;481.002;0;0;80
1056;1;2;4;318.884;380;0;72
1058;1;2;0;328.019;380;0;72
1058;1;2;1;758.332;0;0;80
