Boundary_Name;Element_Name;Start_Port;End_Port;Distance
11UW;1003;1;2;164.989
11UE;110;2;1;142.77
11DW;1000;2;1;164.989
11DE;109;2;1;67.831
11ME1;108;1;2;44.211
11ME2;107;1;2;44.211
12UW;1007;1;2;975.08
12UE;1007;2;1;975.08
12DW;1006;2;1;952.968
12DE;1006;1;2;952.968
13UW;1010;1;2;382.189
13UE;1011;2;1;411.219
13DW;1008;2;1;488.093
13DE;1009;1;2;197.759
14UW;1013;1;2;633.508
14UE;1013;2;1;633.508
14DW;1012;2;1;1035.151
14DE;1012;1;2;1035.151
15UW;1015;1;2;1026.118
15UE;1015;2;1;1026.118
15DW;1014;2;1;820.183
15DE;1014;1;2;820.183
16UW;1017;1;2;1659.124
16UE;1017;2;1;1659.124
16DW;1016;2;1;1694.681
16DE;1016;1;2;1694.681
17UW;1019;1;2;382.206
17UE;118;2;1;131.8
17DW;1018;2;1;491.194
17DE;114;1;2;204.42
17ME1;117;1;2;44.21
18UW;1023;1;2;993.867
18UE;1023;2;1;993.867
18DW;1022;2;1;1260.297
18DE;1022;1;2;1260.297
19UW;1025;1;2;1104.537
19UE;1025;2;1;1104.537
19DW;1024;2;1;776
19DE;1024;1;2;776
20UW;1028;1;2;879.956
20UE;1029;2;1;132.184
20DW;1026;2;1;1103.833
20DE;1027;1;2;132
21UW;1031;1;2;688.714
21UE;1031;2;1;688.714
21DW;1030;2;1;714.462
21DE;1030;1;2;714.462
22UW;1033;1;2;1201.239
22UE;1033;2;1;1201.239
22DW;1032;2;1;1034.782
22DE;1032;1;2;1034.782
23UW;1036;1;2;619.133
23UE;122;1;2;200.86
23DW;1034;2;1;790.187
23DE;121;1;2;204.42
23ME1;1037;2;1;139.789
23ME2;1035;2;1;169.789
24UW;1039;1;2;1335.612
24UE;1039;2;1;1335.612
24DW;1038;2;1;1188.055
24DE;1038;1;2;1188.055
25UW;1041;1;2;2504.878
25UE;1041;2;1;2504.878
25DW;1040;2;1;2649
25DE;1040;1;2;2649
26UW;1044;1;2;777.88
26UE;1045;2;1;132
26DW;1042;2;1;803.455
26DE;1043;1;2;382.285
27UW;1047;1;2;1402
27UE;1047;2;1;1402
27DW;1046;2;1;798
27DE;1046;1;2;798
28UW;1049;1;2;1322
28UE;1049;2;1;1322
28DW;1048;2;1;1532
28DE;1048;1;2;1532
29UW;1051;1;2;382.19
29UE;135;2;1;112.77
29DW;1050;2;1;526.185
29DE;131;1;2;204.42
29ME1;134;1;2;44.211
30UW;1055;1;2;759.7
30UE;1055;2;1;759.7
30DW;1054;2;1;872.806
30DE;1054;1;2;872.806
31UW;1057;1;2;865.711
31UE;1057;2;1;865.711
31DW;1056;2;1;1071.493
31DE;1056;1;2;1071.493
32UW;1059;1;2;707.493
32UE;1059;2;1;707.493
32DW;1058;2;1;1086.351
32DE;1058;1;2;1086.351
33UW;1063;1;2;706.516
33UE;139;1;2;64.811
33DW;1060;2;1;132
33DE;138;1;2;64.811
33ME1;1065;2;1;580.735
33ME2;1062;2;1;519.435
